circuit_join,Barack Obama,Donald J. Trump,George H.W. Bush,George W. Bush,Gerald Ford,Jimmy Carter,Joseph R. Biden,Richard M. Nixon,Ronald Reagan,William J. Clinton
DISTRICT OF COLUMBIA CIRCUIT,5.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0
EIGHTH CIRCUIT,1.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0
ELEVENTH CIRCUIT,2.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0
FEDERAL CIRCUIT,6.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0
FIFTH CIRCUIT,2.0,5.0,3.0,5.0,2.0,2.0,2.0,1.0,4.0,2.0
FIRST CIRCUIT,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0
FOURTH CIRCUIT,5.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0
NINTH CIRCUIT,7.0,10.0,0.0,7.0,0.0,4.0,6.0,1.0,4.0,13.0
SECOND CIRCUIT,3.0,3.0,1.0,4.0,0.0,3.0,5.0,1.0,2.0,6.0
SEVENTH CIRCUIT,1.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,2.0
SIXTH CIRCUIT,1.0,6.0,1.0,7.0,2.0,0.0,2.0,0.0,6.0,5.0
TENTH CIRCUIT,5.0,2.0,1.0,4.0,0.0,1.0,2.0,0.0,5.0,3.0
THIRD CIRCUIT,3.0,4.0,0.0,4.0,0.0,0.0,3.0,1.0,5.0,4.0
